項目,方案一 : Days and Moment,方案二 : Just Hsu Wedding,方案三 : Alisha Lace,方案四 : 自備禮服
方案名稱,優雅禮服婚紗方案,經典禮服婚紗方案,經典禮服婚紗方案,不提供
禮服內容,禮服兩套 (一白紗、一晚禮服),禮服兩套 (一白紗、一晚禮服),禮服兩套 (一白紗、一晚禮服),不提供
西服,男士西服一套,男士西服一套,男士西服一套,不提供
自備便服,自備便服一套,自備便服一套,自備便服一套,自備便服一套
造型師,造型師全程跟拍,造型師全程跟拍,造型師全程跟拍,造型師全程跟拍
拍攝時間,10 小時 (含化妝時間 3 小時 & 車程),10 小時 (含化妝時間 3 小時 & 車程),10 小時 (含化妝時間 3 小時 & 車程),10 小時 (含化妝時間 3 小時 & 車程)
精修照片數量,30 組,30 組,30 組,30 組
相本,12*12 吋典藏皮質相本,12*12 吋典藏皮質相本,12*12 吋典藏皮質相本,12*12 吋典藏皮質相本
油畫,24*30 吋典藏無框油畫,24*30 吋無框油畫,24*30 吋無框油畫,24*30 吋無框油畫
隨身碟,USB 客製隨身碟,USB 客製隨身碟,USB 客製隨身碟,USB 客製隨身碟
攝影棚/租車費用,不含，工作室可代訂,不含，工作室可代訂,不含，工作室可代訂,不含，工作室可代訂
指定造型師費用,"$5,000","$5,000","$5,000","$5,000"
價格,"$45,800","$43,800","$43,800","$26,800"